a,c,rad2,base=(a+3)(a-c),delta
3,1,14,12,2
3,2,8,6,2
5,1,34,32,2
5,2,27,24,3
5,3,21,16,5
5,4,12,8,4
6,2,39,36,3
6,4,23,18,5
7,1,62,60,2
7,2,53,50,3
7,3,44,40,4
7,4,37,30,7
7,5,26,20,6
7,6,16,10,6
9,1,98,96,2
9,2,87,84,3
9,3,76,72,4
9,4,65,60,5
9,5,57,48,9
9,6,43,36,7
9,7,33,24,9
9,8,20,12,8
10,2,107,104,3
10,4,83,78,5
10,6,61,52,9
10,8,35,26,9
11,1,142,140,2
11,2,129,126,3
11,3,116,112,4
11,4,103,98,5
11,5,90,84,6
11,6,81,70,11
11,7,65,56,9
11,8,51,42,9
11,9,38,28,10
11,10,24,14,10
12,4,125,120,5
12,8,69,60,9
13,1,194,192,2
13,2,179,176,3
13,3,164,160,4
13,4,149,144,5
13,5,134,128,6
13,6,119,112,7
13,7,109,96,13
13,8,91,80,11
13,9,74,64,10
13,10,61,48,13
13,11,45,32,13
13,12,28,16,12
14,2,207,204,3
14,4,175,170,5
14,6,143,136,7
14,8,115,102,13
14,10,79,68,11
14,12,47,34,13
15,1,254,252,2
15,2,237,234,3
15,3,220,216,4
15,4,203,198,5
15,5,186,180,6
15,6,169,162,7
15,7,152,144,8
15,8,141,126,15
15,9,121,108,13
15,10,101,90,11
15,11,84,72,12
15,12,67,54,13
15,13,50,36,14
15,14,32,18,14
